"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"LIST_TASWATER_SW_PRES_MAIN","HUON_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip","municipality_huon_valley.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_huon_valley","MultiPolygon",1,11,"EPSG:28355","407843.017 5143548.006 517537.816 5256078.522","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HUON_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_huon_valley","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HUON_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_huon_valley","Polygon",1,9,"EPSG:28355","407843.017 5143548.006 517537.816 5256078.522","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KENTISH","lga","LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip","list_taswater_sw_pres_main_kentish.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_kentish","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KENTISH","lga","LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip","municipality_kentish.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_kentish","MultiPolygon",1,11,"EPSG:28355","404202.141 5384713.136 458441.278 5434163.762","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KENTISH","lga","LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_kentish","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KENTISH","lga","LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_kentish","Polygon",1,9,"EPSG:28355","404202.141 5384713.136 458441.278 5434163.762","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KENTISH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KING_ISLAND","lga","LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip","list_taswater_sw_pres_main_king_island.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_king_island","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KING_ISLAND","lga","LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip","municipality_king_island.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_king_island","MultiPolygon",1,11,"EPSG:28355","227092.711 5549704.029 257322.663 5614536.071","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KING_ISLAND","lga","LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_king_island","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KING_ISLAND","lga","LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_king_island","Polygon",1,9,"EPSG:28355","227092.711 5549704.029 257322.663 5614536.071","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KING_ISLAND.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KINGBOROUGH","lga","LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip","list_taswater_sw_pres_main_kingborough.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_kingborough","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KINGBOROUGH","lga","LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip","municipality_kingborough.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_kingborough","MultiPolygon",1,11,"EPSG:28355","507420.634 5179710.316 535195.892 5250488.019","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip",""
"LIST_TASWATER_SW_PRES_MAIN","KINGBOROUGH","lga","LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_kingborough","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_KINGBOROUGH.zip",""
